,animeID,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score,name,source,producers,genre,studio
34,57,26,FALSE,197,448,198237,6022,91614,8.36,Beck,Manga,Marvelous,Comedy,Madhouse
35,58,26,FALSE,3232,1586,54058,360,21542,7.11,Blue Gender,Original,Youmex,Adventure,AIC
36,59,26,FALSE,1629,211,334276,3418,182381,7.51,Chobits,Manga,TBS,Sci-Fi,Madhouse
37,60,24,FALSE,985,530,172946,1946,81366,7.75,Chrno Crusade,Manga,Lantis,Action,Gonzo
38,61,26,FALSE,2456,637,148256,1448,78088,7.3,D.N.Angel,Manga,Kadokawa Shoten,Action,Xebec
39,62,26,FALSE,4164,1485,59502,183,24731,6.86,D.C.: Da Capo,Visual novel,Lantis,Harem,feel.
40,63,12,FALSE,4750,882,110662,362,61303,6.73,DearS,Manga,Bandai Visual,Sci-Fi,Daume
41,64,12,FALSE,1617,610,154546,1929,76580,7.52,Rozen Maiden,Manga,Mellow Head,Action,Nomad
42,65,12,FALSE,1053,1104,84149,481,48438,7.73,Rozen Maiden: Träumend,Manga,Mellow Head,Action,Nomad
43,67,24,FALSE,1249,722,132611,1345,57199,7.64,Basilisk: Kouga Ninpou Chou,Manga,GDH,Action,Gonzo
44,69,25,FALSE,6013,4332,8136,13,2241,6.44,Cluster Edge,Original,Bandai Visual,Action,Sunrise
45,71,24,FALSE,1013,203,340901,4032,177049,7.74,Full Metal Panic!,Light novel,Kadokawa Shoten,Action,Gonzo
46,72,12,FALSE,385,399,215819,2743,133639,8.14,Full Metal Panic? Fumoffu,Light novel,Tatsunoko Production,Action,Kyoto Animation
47,73,13,FALSE,536,456,195923,1287,115427,8.02,Full Metal Panic! The Second Raid,Light novel,Kadokawa Shoten,Action,Kyoto Animation
48,75,25,FALSE,2286,2124,34454,232,10912,7.35,Soukyuu no Fafner: Dead Aggressor,Original,TV Tokyo Music,Action,Xebec
49,76,13,FALSE,1741,1209,77124,967,32683,7.48,Mahou Shoujo Lyrical Nanoha,Original,Starchild Records,Action,Seven Arcs
50,77,13,FALSE,499,1672,49952,952,26706,8.05,Mahou Shoujo Lyrical Nanoha A's,Original,Starchild Records,Action,Seven Arcs
51,79,24,FALSE,2835,433,202630,1503,101261,7.21,Shuffle!,Visual novel,Lantis,Comedy,Xebec
52,80,43,FALSE,804,1270,72598,1438,31375,7.85,Mobile Suit Gundam,Original,Sotsu,Action,Sunrise
53,81,12,FALSE,458,1715,48063,752,26728,8.09,Mobile Suit Gundam: The 08th MS Team,Original,Atelier Musa,Military,Sunrise
54,82,6,FALSE,742,2208,32457,507,17659,7.88,Mobile Suit Gundam 0080: War in the Pocket,Original,Bandai Visual,Military,Sunrise
55,83,1,FALSE,4029,3999,9829,3,5015,6.9,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Original,Sotsu,Military,Sunrise
56,84,13,FALSE,2064,2448,26920,192,15167,7.4,Mobile Suit Gundam 0083: Stardust Memory,Original,Bandai Visual,Military,Sunrise
57,85,50,FALSE,586,1923,40759,1292,20063,7.99,Mobile Suit Zeta Gundam,Original,Sotsu,Military,Sunrise
58,86,47,FALSE,4768,2642,23757,80,11017,6.73,Mobile Suit Gundam ZZ,Original,Sotsu,Space,Sunrise
59,87,1,FALSE,1019,2491,26241,205,15090,7.74,Mobile Suit Gundam: Char's Counterattack,Novel,Sotsu,Military,Sunrise
60,88,1,FALSE,4521,3050,18010,40,9833,6.78,Mobile Suit Gundam F91,Unknown,Sotsu,Drama,Sunrise
61,89,51,FALSE,4214,3167,16608,82,6156,6.85,Mobile Suit Victory Gundam,Original,TV Asahi,Military,Sunrise
62,90,49,FALSE,867,909,108562,2278,62406,7.82,Mobile Suit Gundam Wing,Original,TV Asahi,Action,Sunrise
63,91,3,FALSE,805,2118,34585,194,20559,7.85,Mobile Suit Gundam Wing: Endless Waltz,Original,Bandai Visual,Action,Sunrise
64,92,39,FALSE,2219,2637,23787,164,10345,7.36,After War Gundam X,Original,TV Asahi,Sci-Fi,Sunrise
65,94,50,FALSE,2479,1191,78312,1133,47750,7.3,Mobile Suit Gundam SEED Destiny,Original,Sotsu,Action,Sunrise
66,95,50,FALSE,1058,2420,27476,547,9204,7.73,Turn A Gundam,Original,Sotsu,Action,Sunrise
67,96,49,FALSE,1367,1778,45765,757,25027,7.6,Mobile Fighter G Gundam,Original,TV Asahi,Sci-Fi,Sunrise
68,97,26,FALSE,722,743,129036,1709,55389,7.89,Last Exile,Original,GDH,Action,Gonzo
69,98,26,FALSE,1580,1050,89769,1216,42321,7.53,Mai-HiME,Original,Bandai Visual,Action,Sunrise
70,99,26,FALSE,2242,1904,41658,322,21354,7.36,Mai-Otome,Original,Bandai Visual,Comedy,Sunrise
71,101,12,FALSE,1994,381,224570,2584,120702,7.41,Air,Visual novel,Pony Canyon,Slice of Life,Kyoto Animation
72,102,26,FALSE,1541,1202,77444,518,40784,7.54,Aishiteruze Baby??,Manga,Animax,Comedy,TMS Entertainment
73,103,74,FALSE,1797,4019,9766,75,3269,7.46,Akazukin Chacha,Manga,Nihon Ad Systems,Adventure,Studio Gallop
74,104,24,FALSE,2335,1775,45839,501,21170,7.33,Ayashi no Ceres,Manga,Bandai Visual,Adventure,Studio Pierrot
75,105,13,FALSE,5690,3087,17520,41,7160,6.52,Boys Be...,Manga,Audio Tanaka,Slice of Life,Hal Film Maker
76,106,51,FALSE,819,2031,37364,646,15258,7.84,Hana yori Dango,Manga,unknown,Drama,Toei Animation
77,107,13,FALSE,2441,2375,28628,196,11279,7.31,Ou Dorobou Jing,Manga,Aniplex,Adventure,Studio Deen
78,108,3,FALSE,2201,3930,10261,25,4665,7.37,Ou Dorobou Jing in Seventh Heaven,Unknown,Aniplex,Adventure,Studio Deen
79,109,24,FALSE,4047,1542,55927,251,24602,6.89,Bakuretsu Tenshi,Original,GDH,Adventure,Gonzo
80,110,52,FALSE,1106,3763,11287,90,4991,7.7,Chuuka Ichiban!,Manga,unknown,Action,Nippon Animation
81,112,8,FALSE,9690,4749,6475,5,2339,5.03,Chou Henshin Cosprayers,Original,m.o.e.,Action,Imagin
82,113,26,FALSE,1895,3017,18413,114,7477,7.44,Uchuu no Stellvia,Original,Starchild Records,Action,Xebec
83,114,26,FALSE,587,1039,91122,1372,36280,7.99,Sakigake!! Cromartie Koukou,Manga,TV Tokyo Music,Comedy,Production I.G
84,115,13,FALSE,4011,4253,8442,9,3851,6.9,El Hazard: The Alternative World,Original,Pioneer LDC,Adventure,AIC
85,116,26,FALSE,3509,3674,11996,33,5131,7.04,El Hazard: The Wanderers,Original,TV Tokyo,Adventure,AIC
86,117,7,FALSE,2090,3589,12749,82,5695,7.39,El Hazard: The Magnificent World,Original,Pioneer LDC,Adventure,AIC
87,118,4,FALSE,3863,4655,6770,5,3348,6.94,El Hazard 2: The Magnificent World,Original,Pioneer LDC,Adventure,AIC
88,119,13,FALSE,5212,2362,28858,45,14922,6.63,Final Approach,Visual novel,Trinet Entertainment,Comedy,Zexcs
89,120,26,FALSE,951,244,310675,7892,175617,7.77,Fruits Basket,Manga,TV Tokyo,Slice of Life,Studio Deen
90,121,51,FALSE,268,27,854022,22764,524986,8.28,Fullmetal Alchemist,Manga,Aniplex,Action,Bones
91,122,52,FALSE,508,1241,74904,1628,32470,8.04,Full Moon wo Sagashite,Manga,Nihon Ad Systems,Music,Studio Deen
92,123,52,FALSE,989,1197,77831,2027,35246,7.75,Fushigi Yuugi,Manga,TV Tokyo,Adventure,Studio Pierrot
93,124,4,FALSE,3799,3495,13562,65,7196,6.96,Fushigi Yuugi: Eikouden,Manga,unknown,Adventure,Studio Pierrot
94,125,13,FALSE,5480,2389,28139,19,13132,6.57,Futakoi,Original,Lantis,Comedy,Telecom Animation Film
95,126,13,FALSE,3729,2520,25668,64,9636,6.98,Futakoi Alternative,Original,Lantis,Comedy,ufotable
96,127,24,FALSE,3511,3125,17132,55,7175,7.04,Gate Keepers,Game,Media Factory,Action,Gonzo
97,128,6,FALSE,4202,4245,8467,21,3789,6.85,Gate Keepers 21,Game,unknown,Action,Gonzo
98,129,50,FALSE,1183,1943,40022,772,15344,7.67,Gensoumaden Saiyuuki,Manga,TV Tokyo,Adventure,Studio Pierrot
99,130,25,FALSE,1677,2648,23696,102,9345,7.5,Saiyuuki Reload,Manga,unknown,Action,Studio Pierrot
100,131,26,FALSE,1645,3187,16424,45,6086,7.51,Saiyuuki Reload Gunlock,Manga,unknown,Action,Studio Pierrot
101,132,49,FALSE,1152,1043,90279,847,38643,7.68,GetBackers,Manga,TBS,Action,Studio Deen
102,133,12,FALSE,6465,1001,95049,250,55059,6.34,Green Green,Visual novel,Pony Canyon,Comedy,Studio Matrix
103,134,13,FALSE,1662,702,135682,1040,57472,7.5,Gunslinger Girl,Manga,Marvelous,Action,Madhouse
104,135,75,FALSE,365,1054,89377,1883,41770,8.16,Hikaru no Go,Manga,TV Tokyo,Comedy,Studio Pierrot
105,136,62,FALSE,123,316,256505,6423,126542,8.47,Hunter x Hunter,Manga,Fuji TV,Action,Nippon Animation
106,137,8,FALSE,185,1255,74017,301,42591,8.38,Hunter x Hunter: Yorkshin City Kanketsu-hen,Manga,unknown,Action,Nippon Animation
107,138,8,FALSE,250,1156,80473,232,47733,8.3,Hunter x Hunter: Greed Island,Manga,unknown,Action,Nippon Animation
108,139,14,FALSE,192,1186,78544,209,46268,8.37,Hunter x Hunter: Greed Island Final,Manga,unknown,Action,Nippon Animation
109,142,44,FALSE,1603,1993,38422,417,19874,7.52,Kamikaze Kaitou Jeanne,Manga,unknown,Adventure,Toei Animation
110,143,12,FALSE,3736,1619,52235,714,22861,6.98,Kannazuki no Miko,Manga,Studio Fantasia,Supernatural,TNK
111,144,13,FALSE,2861,1699,49004,245,20807,7.2,Kanon,Visual novel,Movic,Drama,Toei Animation
112,145,26,FALSE,1261,727,131698,1611,50253,7.64,Kareshi Kanojo no Jijou,Manga,TV Tokyo,Comedy,Gainax
113,146,12,FALSE,4209,1709,48458,171,23719,6.85,Kono Minikuku mo Utsukushii Sekai,Original,Geneon Universal Entertainment,Sci-Fi,Gainax
114,148,12,FALSE,4889,4624,6865,8,1991,6.7,Kita e.: Diamond Dust Drops,Visual novel,unknown,Drama,Studio Deen
115,149,12,FALSE,3358,942,103264,1589,52430,7.08,Loveless,Manga,Bandai Visual,Action,J.C.Staff
116,150,50,FALSE,982,302,265515,4222,112413,7.75,Blood+,Original,Aniplex,Action,Production I.G
117,151,3,FALSE,3092,3075,17686,113,6949,7.15,Re: Cutey Honey,Manga,Toei Video,Action,Gainax
118,152,24,FALSE,2367,2732,22336,115,9430,7.33,Solty Rei,Original,AIC,Action,Gonzo
119,153,45,FALSE,422,1060,88899,1985,30208,8.12,Juuni Kokuki,Novel,Sogo Vision,Action,Studio Pierrot
120,154,64,FALSE,852,366,230755,3011,127151,7.83,Shaman King,Manga,TV Tokyo,Action,Xebec
121,155,1,FALSE,5092,2443,27050,121,14810,6.66,X/1999,Manga,Kadokawa Shoten,Action,Madhouse
122,156,24,FALSE,1653,1468,60599,734,27469,7.51,X,Manga,Bandai Visual,Action,Madhouse
123,157,26,FALSE,3437,952,101540,572,47384,7.06,Mahou Sensei Negima!,Manga,Starchild Records,Comedy,Xebec
124,158,13,FALSE,1923,1859,43233,594,14842,7.43,Maria-sama ga Miteru,Light novel,Rondo Robe,Slice of Life,Studio Deen
125,159,24,FALSE,6225,3370,14738,44,4749,6.39,Boukyaku no Senritsu,Manga,Kadokawa Shoten,Adventure,Gainax
126,160,13,FALSE,1038,1128,81980,838,26652,7.73,"Ima, Soko ni Iru Boku",Original,Victor Entertainment,Adventure,AIC
127,161,24,FALSE,2118,1876,42615,299,18076,7.39,Peace Maker Kurogane,Manga,GDH,Action,Gonzo
128,162,26,FALSE,3564,3025,18296,96,8022,7.03,Pita Ten,Manga,Broccoli,Comedy,Madhouse
129,163,26,FALSE,5673,5105,5389,17,2631,6.53,Power Stone,Game,Avex Entertainment,Adventure,Studio Pierrot
130,164,1,FALSE,30,79,568463,11828,368410,8.79,Mononoke Hime,Original,Tokuma Shoten,Action,Studio Ghibli
131,165,26,FALSE,1709,1108,83932,862,32471,7.49,RahXephon,Original,Asatsu DK,Action,Bones
132,166,26,FALSE,1492,1036,91374,667,45991,7.56,Samurai 7,Other,GDH,Historical,Gonzo
133,167,24,FALSE,1782,1284,71737,417,29989,7.47,Scrapped Princess,Light novel,Kadokawa Shoten,Adventure,Bones
134,168,26,FALSE,1935,1429,63566,615,30526,7.43,s.CRY.ed,Original,Yomiko Advertising,Action,Sunrise
135,169,12,FALSE,3610,846,114297,590,53265,7.02,Shingetsutan Tsukihime,Visual novel,TBS,Action,J.C.Staff
136,170,101,FALSE,92,751,128264,3750,60029,8.54,Slam Dunk,Manga,TV Asahi,Comedy,Toei Animation
137,171,13,FALSE,5721,6506,2932,6,848,6.52,Strange Dawn,Original,unknown,Adventure,Hal Film Maker
138,174,24,FALSE,3531,728,131441,599,67126,7.04,Tenjou Tenge,Manga,TV Asahi,Action,Madhouse
139,175,26,FALSE,4945,2761,21984,38,8865,6.69,Tokyo Underground,Manga,TV Tokyo Music,Action,Studio Pierrot
140,176,4,FALSE,6896,5119,5353,6,2182,6.24,Triangle Heart: Sweet Songs Forever,Unknown,Discovery,Adventure,Seven Arcs
141,177,26,FALSE,1296,553,166918,2148,72410,7.63,Tsubasa Chronicle,Manga,NHK,Action,Bee Train
142,178,26,FALSE,2684,2649,23669,125,9973,7.25,Ultra Maniac,Manga,WAO World,Magic,Production Reed
143,180,13,FALSE,2563,1411,64355,401,35117,7.28,Vandread,Original,GDH,Action,Gonzo
144,181,13,FALSE,1715,1882,42437,106,26079,7.49,Vandread: The Second Stage,Original,GDH,Action,Gonzo
145,183,39,FALSE,1717,3956,10123,64,4787,7.49,Whistle!,Manga,Marvelous,School,Studio Comet
146,184,12,FALSE,6095,3235,15991,39,6699,6.43,Xenosaga The Animation,Game,Happinet Pictures,Action,Toei Animation
147,186,13,FALSE,366,1117,83138,365,52693,8.16,Initial D Second Stage,Manga,OB Planning,Action,Pastel
148,187,1,FALSE,618,1305,70628,260,44916,7.96,Initial D Third Stage,Manga,OB Planning,Action,Studio Deen
149,189,24,FALSE,2739,473,191811,1470,104267,7.23,Love Hina,Manga,Production I.G,Comedy,Xebec
150,190,3,FALSE,2394,1321,69568,87,44018,7.32,Love Hina Again,Manga,Starchild Records,Comedy,Xebec
151,191,1,FALSE,2060,1686,49493,49,31488,7.4,Love Hina Christmas Special: Silent Eve,Manga,Yomiko Advertising,Slice of Life,Xebec
152,192,1,FALSE,2588,1808,44750,24,27974,7.27,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Unknown,Starchild Records,Adventure,Xebec
153,193,24,FALSE,3987,1248,74569,236,38122,6.91,Maburaho,Light novel,Kadokawa Shoten,Comedy,J.C.Staff
154,194,5,FALSE,1319,2372,28670,108,15264,7.62,Macross Zero,Unknown,Bandai Visual,Adventure,Satelight
155,195,12,FALSE,2519,779,123941,828,70677,7.29,Onegai?Teacher,Original,Bandai Visual,Sci-Fi,Daume
156,196,12,FALSE,3778,1337,68816,172,40297,6.97,Onegai?Twins,Original,Bandai Visual,Comedy,Daume
157,197,24,FALSE,5324,2917,19525,45,8192,6.61,Rizelmine,Manga,m.o.e.,Sci-Fi,Madhouse
158,198,24,FALSE,1985,1135,81688,552,30851,7.42,Speed Grapher,Original,TV Asahi,Action,Gonzo
159,199,1,FALSE,18,40,789004,17043,550969,8.91,Sen to Chihiro no Kamikakushi,Original,Toho,Adventure,Studio Ghibli
160,200,50,FALSE,1537,2961,19011,124,6905,7.55,Tenshi na Konamaiki,Manga,unknown,Comedy,TMS Entertainment
161,201,6,FALSE,2604,3012,18467,90,8952,7.27,Video Girl Ai,Manga,Shueisha,Comedy,Production I.G
162,202,26,FALSE,730,386,221781,5064,94639,7.89,Wolf's Rain,Original,Bandai Visual,Action,Bones
163,204,12,FALSE,7056,2742,22207,30,10533,6.2,Yumeria,Visual novel,unknown,Action,Studio Deen
164,205,26,FALSE,108,68,602539,21300,324698,8.5,Samurai Champloo,Original,Victor Entertainment,Action,Manglobe
165,206,27,FALSE,2787,2848,20581,102,7887,7.22,Lodoss-tou Senki: Eiyuu Kishi Den,Novel,Kadokawa Shoten,Action,AIC
166,207,13,FALSE,1668,1944,39938,393,16094,7.5,Lodoss-tou Senki,Novel,Kadokawa Shoten,Action,Madhouse
167,208,3,FALSE,1050,1693,49200,296,26997,7.73,R.O.D: Read or Die,Light novel,Aniplex,Action,Studio Deen
168,210,161,FALSE,831,643,145694,2932,63538,7.84,Ranma ½,Manga,Shogakukan Productions,Slice of Life,Studio Deen
169,212,1,FALSE,3784,3780,11129,91,5036,6.97,Project A-Ko,Original,SOEISHINSHA,Action,APPP
170,215,6,FALSE,6118,7683,1722,2,690,6.42,Pia Carrot e Youkoso!! 2 DX,Unknown,unknown,Comedy,unknown
171,216,1,FALSE,7745,7210,2140,2,899,5.99,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Visual novel,Geneon Universal Entertainment,Comedy,Bones
172,218,26,FALSE,1454,2059,36486,371,14147,7.57,Kidou Senkan Nadesico,Original,Starchild Records,Action,Xebec
173,222,13,FALSE,4724,3424,14279,26,6184,6.74,Mezzo DSA,Original,Studio Pierrot,Action,Arms
174,223,153,FALSE,382,99,491047,9545,312333,8.14,Dragon Ball,Manga,Fuji TV,Adventure,Toei Animation
175,225,64,FALSE,5110,210,334553,1359,223329,6.65,Dragon Ball GT,Manga,Fuji TV,Action,Toei Animation
176,226,13,FALSE,1067,18,901294,20990,549257,7.72,Elfen Lied,Manga,VAP,Action,Arms
177,227,6,FALSE,477,122,449437,17570,252437,8.07,FLCL,Original,Starchild Records,Action,Gainax
178,228,26,FALSE,1040,357,232764,2955,88662,7.73,Jigoku Shoujo,Original,Aniplex,Mystery,Studio Deen
179,229,12,FALSE,3708,2448,26893,131,12628,6.99,Ninin ga Shinobuden,Manga,Toshiba Entertainment,Comedy,ufotable
180,230,27,FALSE,3307,2417,27534,132,11151,7.09,Air Master,Manga,VAP,Action,Toei Animation
181,232,70,FALSE,312,318,255161,10388,129042,8.21,Cardcaptor Sakura,Manga,NHK,Adventure,Madhouse
182,233,78,FALSE,950,3222,16134,227,6938,7.77,Daa! Daa! Daa!,Manga,unknown,Comedy,J.C.Staff
183,234,26,FALSE,4704,6495,2936,4,1203,6.74,Dan Doh!!,Manga,TV Tokyo,Adventure,Tokyo Kids
184,235,0,TRUE,286,537,172217,8564,83970,8.25,Detective Conan,Manga,Yomiuri Telecasting,Adventure,TMS Entertainment
185,236,26,FALSE,4876,3520,13357,27,5622,6.7,E's Otherwise,Manga,Sotsu,Adventure,Studio Pierrot
186,237,50,FALSE,391,224,324904,8324,133989,8.14,Koukyoushihen Eureka Seven,Original,Aniplex,Adventure,Bones
187,239,24,FALSE,318,666,142187,2893,45028,8.2,Gankutsuou,Novel,GDH,Drama,Gonzo
188,240,12,FALSE,1088,745,128591,1220,55702,7.71,Genshiken,Manga,Genco,Slice of Life,Palm Studio
189,241,11,FALSE,5387,934,105109,297,53617,6.59,Girls Bravo: First Season,Manga,Lantis,Harem,AIC Spirits
190,242,13,FALSE,1808,2397,27997,180,14226,7.46,Gokusen,Manga,VAP,Slice of Life,Madhouse
191,245,43,FALSE,36,153,396574,15205,202638,8.73,Great Teacher Onizuka,Manga,Aniplex,Comedy,Studio Pierrot
192,246,51,FALSE,2150,1286,71413,359,27373,7.38,Groove Adventure Rave,Manga,TBS,Adventure,Studio Deen
193,247,26,FALSE,3152,3060,17862,111,5541,7.13,Harukanaru Toki no Naka de: Hachiyou Shou,Visual novel,Yumeta Company,Fantasy,unknown
194,249,167,FALSE,687,149,403574,13185,194384,7.91,InuYasha,Manga,Yomiuri Telecasting,Action,Sunrise
195,250,150,FALSE,1288,1250,74492,911,32062,7.63,Konjiki no Gash Bell!!,Manga,Yomiko Advertising,Adventure,Toei Animation
196,251,78,FALSE,846,1268,73011,1347,25994,7.83,Kyou kara Maou!,Light novel,NHK,Adventure,Studio Deen
197,252,26,FALSE,3203,2267,30979,139,10087,7.12,Madlax,Original,Victor Entertainment,Military,Bee Train
198,253,26,FALSE,673,2503,26022,376,10809,7.92,Jungle wa Itsumo Hare nochi Guu,Manga,Bandai Visual,Slice of Life,Shin-Ei Animation
199,254,6,FALSE,700,3976,9959,25,5659,7.9,Jungle wa Itsumo Hare nochi Guu Deluxe,Manga,Bandai Visual,Comedy,Shin-Ei Animation
200,255,7,FALSE,1042,4270,8391,13,4670,7.73,Jungle wa Itsumo Hare nochi Guu Final,Manga,Bandai Visual,Slice of Life,Shin-Ei Animation
201,258,4,FALSE,6372,3598,12676,33,5137,6.36,Hitsuji no Uta,Manga,Group TAC,Horror,Madhouse
202,260,13,FALSE,4667,2844,20618,21,9425,6.75,Happy?Lesson (TV),Manga,KSS,Comedy,Studio Hibari
203,261,13,FALSE,3904,3721,11604,8,5188,6.93,Happy?Lesson: Advance,Manga,KSS,Comedy,Studio Hibari
204,262,3,FALSE,3951,4474,7477,5,3455,6.92,Happy?Lesson: The Final,Manga,KSS,Comedy,Studio Hibari
205,263,75,FALSE,29,313,257615,11764,128562,8.79,Hajime no Ippo,Manga,VAP,Comedy,Madhouse
206,264,1,FALSE,204,1289,71169,159,44638,8.35,Hajime no Ippo: Champion Road,Manga,unknown,Comedy,Madhouse
207,265,1,FALSE,280,1509,58179,118,36873,8.26,Hajime no Ippo: Mashiba vs. Kimura,Manga,unknown,Comedy,Madhouse
208,267,26,FALSE,655,764,126086,2035,49372,7.93,Gungrave,Game,Tohokushinsha Film Corporation,Action,Madhouse
209,268,6,FALSE,510,539,171713,2625,99084,8.04,Golden Boy,Manga,KSS,Adventure,APPP
210,269,366,FALSE,713,22,889504,42878,465028,7.89,Bleach,Manga,TV Tokyo,Action,Studio Pierrot
211,270,13,FALSE,1393,134,424367,5062,233260,7.59,Hellsing,Manga,Fuji TV,Action,Gonzo
212,271,26,FALSE,4610,3938,10230,16,3420,6.76,Gad Guard,Original,Hal Film Maker,Sci-Fi,Gonzo
213,272,26,FALSE,2196,1140,81480,763,29334,7.37,Noir,Original,Victor Entertainment,Action,Bee Train
214,273,12,FALSE,4334,2960,19007,34,5478,6.82,Mahoutsukai ni Taisetsu na Koto,Manga,Rondo Robe,Slice of Life,J.C.Staff
215,274,24,FALSE,2581,2081,35880,261,14758,7.27,Kiddy Grade,Original,gimik,Action,Gonzo
216,275,9,FALSE,7740,3101,17391,16,8043,5.99,Love?Love?,Original,m.o.e.,Ecchi,Imagin
217,276,12,FALSE,2668,1772,46023,181,20564,7.25,Mahoromatic: Automatic Maiden,Manga,TBS,Comedy,Gainax
218,277,14,FALSE,2708,2530,25469,43,13244,7.24,Mahoromatic 2,Manga,Pioneer LDC,Comedy,Gainax
219,278,51,FALSE,4266,4441,7642,25,3254,6.84,Viewtiful Joe,Game,TV Tokyo,Action,Group TAC
220,279,13,FALSE,2823,2511,25772,102,7009,7.21,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,Novel,Tokyo Movie Shinsha,Fantasy,TMS Entertainment
221,280,51,FALSE,3752,7531,1848,7,387,6.97,Animal Yokochou,Manga,TV Tokyo,Adventure,Studio Gallop
222,281,3,FALSE,8283,3268,15684,11,8107,5.78,Akane Maniax,Visual novel,Lantis,Comedy,unknown
